> ⛔ **2026-09-13 重驗後仍不可用。**
> 收割期實驗的逐列資料；舊資料集年代 => 作廢。
> 現行權威：`../研究總覽_v2.md`。

date,run,block,psnr,ssim,lpips
2026-06-01,RTG_s10_mc_no_ADDM_aerial_sh2_trim,23,22.10990333557129,0.6603358387947083,0.6207224726676941
2026-06-01,RTG_s10_mc_no_ADDM_aerial_sh2_trim,24,25.304664611816406,0.7030768990516663,0.5109626650810242
2026-05-30,RTG_s10_mc_no_ADDM_aerial_sh2_trim,3,19.95427894592285,0.6673150658607483,0.5522516965866089
2026-05-30,RTG_s10_mc_no_ADDM_aerial_sh2_trim,4,26.41127586364746,0.7502269148826599,0.4288162887096405
2026-05-30,RTG_s10_mc_no_ADDM_aerial_sh2_trim,5,22.683774948120117,0.6703954339027405,0.5982521772384644
2026-05-30,RTG_s10_mc_no_ADDM_aerial_sh2_trim,6,22.994230270385742,0.6237391829490662,0.6736999154090881
2026-05-30,RTG_s10_mc_no_ADDM_aerial_sh2_trim,7,19.4563045501709,0.541430652141571,0.6037744283676147
2026-05-31,RTG_s10_mc_no_ADDM_aerial_sh2_trim,8,19.706626892089844,0.5675092339515686,0.6158424615859985
2026-05-31,RTG_s10_mc_no_ADDM_aerial_sh2_trim,9,26.16868782043457,0.8473526835441589,0.28901907801628113
2026-06-04,RTG_s10_mc_no_freeze_b5_10_no_ADDM_aerial_sh2_trim,16,21.998552322387695,0.6186976432800293,0.5892295837402344
2026-06-04,RTG_s10_mc_no_freeze_b5_10_no_ADDM_aerial_sh2_trim,7,20.272310256958008,0.5760971307754517,0.558504581451416
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,0,,,
2026-06-01,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,1,25.393815994262695,0.7154095768928528,0.5966880917549133
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,10,22.106035232543945,0.6482597589492798,0.6700834631919861
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,11,21.951324462890625,0.6213633418083191,0.6655563116073608
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,12,22.238948822021484,0.6061311960220337,0.6597234010696411
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,13,20.657371520996094,0.5529120564460754,0.7242292165756226
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,14,19.45855712890625,0.559282124042511,0.7215414047241211
2026-06-03,RTG_s10_mc_no_freeze_no_ADDM_aerial_sh2_trim,15,27.17679214477539,0.7610641121864319,0.4469452202320099
